,User,Compound,Negative,Neutral,Positive,Time Stamp,Tweets Ago
227,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 21:29:52 +0000 2018,27
228,@CBSNews,-0.0516,0.816,0.097,0.087,Wed Jun 13 21:09:41 +0000 2018,28
229,@CBSNews,-0.7717,0.729,0.271,0.0,Wed Jun 13 20:50:01 +0000 2018,29
230,@CBSNews,-0.5994,0.804,0.196,0.0,Wed Jun 13 20:30:10 +0000 2018,30
231,@CBSNews,0.6632,0.624,0.0,0.376,Wed Jun 13 20:15:01 +0000 2018,31
232,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 19:35:41 +0000 2018,32
233,@CBSNews,0.4404,0.868,0.0,0.132,Wed Jun 13 19:20:03 +0000 2018,33
234,@CBSNews,-0.4767,0.807,0.193,0.0,Wed Jun 13 19:05:12 +0000 2018,34
235,@CBSNews,-0.7579,0.629,0.371,0.0,Wed Jun 13 18:48:29 +0000 2018,35
236,@CBSNews,0.4588,0.75,0.0,0.25,Wed Jun 13 18:28:53 +0000 2018,36
237,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 18:15:18 +0000 2018,37
238,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 17:55:40 +0000 2018,38
239,@CBSNews,-0.4588,0.857,0.143,0.0,Wed Jun 13 17:34:45 +0000 2018,39
240,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 17:16:16 +0000 2018,40
241,@CBSNews,0.0772,0.697,0.144,0.159,Wed Jun 13 17:09:30 +0000 2018,41
242,@CBSNews,-0.6124,0.826,0.174,0.0,Wed Jun 13 16:55:51 +0000 2018,42
243,@CBSNews,0.8555,0.669,0.0,0.331,Wed Jun 13 16:35:03 +0000 2018,43
244,@CBSNews,-0.7003,0.766,0.234,0.0,Wed Jun 13 16:18:16 +0000 2018,44
245,@CBSNews,-0.34,0.833,0.167,0.0,Wed Jun 13 15:44:38 +0000 2018,45
246,@CBSNews,-0.4767,0.795,0.205,0.0,Wed Jun 13 15:30:49 +0000 2018,46
247,@CBSNews,-0.5267,0.841,0.159,0.0,Wed Jun 13 14:59:54 +0000 2018,47
248,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 14:51:32 +0000 2018,48
249,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 14:44:36 +0000 2018,49
250,@CBSNews,0.6597,0.759,0.0,0.241,Wed Jun 13 14:42:05 +0000 2018,50
251,@CBSNews,-0.296,0.901,0.099,0.0,Wed Jun 13 14:40:11 +0000 2018,51
252,@CBSNews,-0.5106,0.798,0.202,0.0,Wed Jun 13 14:37:16 +0000 2018,52
253,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 14:33:01 +0000 2018,53
254,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 14:29:55 +0000 2018,54
255,@CBSNews,0.4404,0.868,0.0,0.132,Wed Jun 13 14:23:33 +0000 2018,55
256,@CBSNews,-0.5106,0.837,0.163,0.0,Wed Jun 13 14:14:36 +0000 2018,56
257,@CBSNews,-0.8591,0.509,0.436,0.055,Wed Jun 13 14:00:56 +0000 2018,57
258,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 13:44:42 +0000 2018,58
259,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 13:30:02 +0000 2018,59
260,@CBSNews,-0.34,0.844,0.156,0.0,Wed Jun 13 13:14:32 +0000 2018,60
261,@CBSNews,0.5719,0.748,0.0,0.252,Wed Jun 13 13:00:59 +0000 2018,61
262,@CBSNews,0.5719,0.837,0.0,0.163,Wed Jun 13 12:52:23 +0000 2018,62
263,@CBSNews,-0.3612,0.889,0.111,0.0,Wed Jun 13 12:42:03 +0000 2018,63
264,@CBSNews,-0.4588,0.765,0.235,0.0,Wed Jun 13 12:40:43 +0000 2018,64
265,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 12:39:12 +0000 2018,65
266,@CBSNews,-0.6249,0.758,0.242,0.0,Wed Jun 13 12:22:16 +0000 2018,66
267,@CBSNews,0.4588,0.875,0.0,0.125,Wed Jun 13 12:13:16 +0000 2018,67
268,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 12:12:23 +0000 2018,68
269,@CBSNews,0.5719,0.773,0.0,0.227,Wed Jun 13 12:08:42 +0000 2018,69
270,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 12:07:31 +0000 2018,70
271,@CBSNews,-0.6808,0.772,0.228,0.0,Wed Jun 13 12:05:33 +0000 2018,71
272,@CBSNews,0.34,0.882,0.0,0.118,Wed Jun 13 12:01:01 +0000 2018,72
273,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 11:53:21 +0000 2018,73
274,@CBSNews,0.1531,0.762,0.105,0.133,Wed Jun 13 11:42:44 +0000 2018,74
275,@CBSNews,-0.5574,0.878,0.122,0.0,Wed Jun 13 11:41:34 +0000 2018,75
276,@CBSNews,-0.5423,0.628,0.271,0.101,Wed Jun 13 11:40:45 +0000 2018,76
277,@CBSNews,0.0,1.0,0.0,0.0,Wed Jun 13 11:35:23 +0000 2018,77
278,@CBSNews,-0.4588,0.85,0.15,0.0,Wed Jun 13 11:22:53 +0000 2018,78
