,Closest City name,Closest Country code,Latitude,Longitude,Date,Temperature,Wind speed,Humidity,Cloudiness
122,tasiilaq,gl,65.61,-37.64,1528354200.0,41.0,16.11,93.0,92.0
123,toamasina,mg,-18.17,49.38,1528351200.0,78.8,6.93,69.0,20.0
124,kortkeros,ru,61.81,51.56,1528353000.0,50.0,6.71,46.0,75.0
125,sabang,id,1.17,120.82,1528355679.0,84.35,3.13,100.0,0.0
126,birjand,ir,32.86,59.22,1528351200.0,95.0,6.93,8.0,0.0
127,collierville,us,35.04,-89.66,1528354500.0,73.4,2.01,69.0,1.0
128,puerto carreno,co,6.19,-67.49,1528355680.0,68.42,3.24,98.0,92.0
129,palmer,us,61.6,-149.11,1528354560.0,53.6,1.9,87.0,1.0
130,nieuw amsterdam,sr,5.88,-55.08,1528351200.0,73.4,2.24,100.0,40.0
131,aketi,cd,2.74,23.78,1528355681.0,78.95,2.01,83.0,12.0
132,sao filipe,cv,14.9,-24.5,1528355681.0,72.02,12.75,100.0,32.0
133,calabozo,ve,8.92,-67.43,1528355682.0,71.57,2.57,94.0,68.0
134,new ulm,us,44.31,-94.46,1528353300.0,66.2,6.93,63.0,1.0
136,cestas,fr,44.74,-0.68,1528354800.0,64.4,3.36,93.0,90.0
137,sadovo,bg,42.13,24.94,1528354800.0,71.6,3.36,73.0,68.0
138,chernyshevskiy,ru,63.01,112.47,1528355683.0,74.45,4.25,40.0,24.0
139,maragogi,br,-9.01,-35.22,1528355418.0,72.65,2.46,100.0,92.0
140,monaragala,lk,6.87,81.35,1528355684.0,85.25,17.0,75.0,44.0
141,saint-philippe,re,-21.36,55.77,1528353000.0,82.4,5.82,58.0,0.0
142,lardos,gr,36.09,28.02,1528354200.0,80.6,5.82,69.0,0.0
143,chateaubelair,vc,13.28,-61.25,1528351200.0,80.6,19.46,83.0,20.0
144,grafton,au,-29.69,152.93,1528355536.0,62.84,4.92,75.0,92.0
145,marabba,sd,12.35,32.18,1528355686.0,83.72,16.78,60.0,0.0
146,columbus,us,32.46,-84.99,1528353300.0,73.4,1.9,100.0,1.0
147,pesochnyy,ru,51.77,35.31,1528353000.0,57.2,8.95,54.0,40.0
148,hendek,tr,40.8,30.75,1528354200.0,77.0,4.7,69.0,0.0
149,veliki preslav,bg,43.16,26.81,1528355687.0,67.25,3.58,98.0,92.0
150,karratha,au,-20.74,116.85,1528355687.0,74.36,4.14,100.0,92.0
151,redmond,us,47.67,-122.12,1528354680.0,60.8,6.38,62.0,1.0
152,henties bay,na,-22.12,14.28,1528355688.0,65.09,18.01,69.0,0.0
153,mabaruma,gy,8.2,-59.78,1528355688.0,78.86,7.83,87.0,88.0
154,ondarroa,es,43.32,-2.42,1528354800.0,64.4,3.13,82.0,75.0
155,boa vista,br,2.82,-60.67,1528354800.0,77.0,6.93,88.0,0.0
156,maxixe,mz,-23.86,35.35,1528351200.0,64.4,9.17,93.0,75.0
157,eugene,us,44.05,-123.1,1528354560.0,55.4,6.93,87.0,1.0
158,nha trang,vn,12.24,109.19,1528355594.0,85.79,1.9,94.0,56.0
159,dukat,ru,62.55,155.55,1528355691.0,52.94,5.93,26.0,88.0
160,nurota,uz,40.56,65.69,1528353000.0,100.4,9.17,18.0,8.0
161,terre haute,us,39.47,-87.41,1528353300.0,68.0,4.7,88.0,1.0
162,zhigansk,ru,66.77,123.37,1528355692.0,74.63,10.18,36.0,0.0
163,mehamn,no,71.03,27.85,1528354200.0,37.4,25.28,86.0,75.0
164,sokolo,ml,14.74,-6.12,1528355693.0,73.1,4.36,74.0,0.0
165,new norfolk,au,-42.78,147.06,1528354800.0,59.0,12.75,54.0,20.0
166,wenchi,gh,7.74,-2.1,1528355694.0,74.36,7.61,88.0,76.0
167,klaksvik,fo,62.23,-6.59,1528354200.0,48.2,4.7,70.0,76.0
168,tarakan,id,3.3,117.63,1528355695.0,89.39,3.36,80.0,0.0
169,serik,tr,36.92,31.1,1528354200.0,86.0,5.82,48.0,0.0
170,paracuru,br,-3.41,-39.03,1528354800.0,78.8,6.93,88.0,75.0
171,birao,cf,10.3,22.78,1528355696.0,81.29,9.4,63.0,0.0
172,dalian,cn,19.86,110.11,1528351200.0,86.0,17.9,84.0,75.0
173,lulea,se,65.58,22.15,1528354200.0,41.0,9.17,93.0,90.0
175,nicoya,cr,10.15,-85.45,1528351200.0,77.0,4.7,83.0,0.0
176,linfen,cn,36.09,111.52,1528355697.0,81.56,3.69,46.0,48.0
177,garmsar,ir,35.22,52.34,1528355463.0,86.96,4.47,22.0,0.0
178,xihe,cn,34.02,105.29,1528355698.0,54.83,3.91,78.0,92.0
180,aubenas,fr,44.62,4.39,1528354800.0,68.0,3.36,88.0,36.0
181,osias,ph,7.1,124.85,1528355699.0,88.13,10.63,65.0,24.0
182,lorengau,pg,-2.02,147.27,1528355699.0,83.18,7.27,100.0,32.0
184,banda aceh,id,5.56,95.32,1528355700.0,89.84,6.26,59.0,32.0
185,foz,es,43.57,-7.26,1528355700.0,59.69,1.9,100.0,64.0
186,sarkikaraagac,tr,38.08,31.37,1528355700.0,69.41,2.57,63.0,0.0
188,kavieng,pg,-2.57,150.8,1528355701.0,83.09,5.93,100.0,56.0
189,port-de-bouc,fr,43.4,4.98,1528354800.0,71.6,9.17,94.0,75.0
190,liangxiang,cn,39.73,116.14,1528353000.0,89.6,11.18,33.0,0.0
191,mahebourg,mu,-20.41,57.7,1528351200.0,82.4,14.99,65.0,40.0
192,brewster,us,41.76,-70.08,1528353300.0,53.6,4.7,93.0,1.0
193,trairi,br,-3.28,-39.27,1528355703.0,79.49,17.78,100.0,36.0
194,caravelas,br,-17.73,-39.27,1528355704.0,77.06,13.09,98.0,0.0
195,juegang,cn,32.31,121.18,1528355704.0,78.41,11.74,77.0,0.0
196,hasaki,jp,35.73,140.83,1528353000.0,80.6,9.17,57.0,20.0
197,bafq,ir,31.6,55.4,1528355705.0,103.25,6.04,10.0,0.0
198,brae,gb,60.4,-1.35,1528354200.0,51.8,10.29,81.0,40.0
199,ugoofaaru,mv,5.67,73.0,1528355706.0,81.56,17.0,100.0,92.0
200,fengrun,cn,39.83,118.12,1528355738.0,71.6,6.78,81.0,100.0
201,pahrump,us,36.21,-115.98,1528354380.0,84.2,10.29,8.0,1.0
202,naryan-mar,ru,67.67,53.09,1528355707.0,38.27,22.82,88.0,68.0
203,kamarion,gr,36.8,25.82,1528354200.0,84.2,11.41,47.0,0.0
204,teruel,es,40.34,-1.11,1528353000.0,62.6,3.36,72.0,40.0
205,san cristobal,ec,-1.02,-79.44,1528355708.0,57.26,1.57,97.0,32.0
206,cape town,za,-33.93,18.42,1528355709.0,56.45,13.42,100.0,20.0
207,emerald,au,-23.53,148.16,1528355710.0,74.18,11.52,27.0,56.0
209,dasoguz,tm,41.84,59.97,1528353000.0,89.6,13.87,35.0,0.0
210,tazovskiy,ru,67.47,78.7,1528355711.0,40.79,3.02,90.0,20.0
211,rusape,zw,-18.53,32.12,1528355711.0,45.65,3.36,96.0,80.0
212,loa janan,id,-0.58,117.09,1528355712.0,82.82,3.13,86.0,64.0
213,butaritari,ki,3.07,172.79,1528355712.0,84.17,10.96,100.0,20.0
216,iisalmi,fi,63.56,27.19,1528354200.0,44.6,11.41,75.0,90.0
217,saint george,bm,32.38,-64.68,1528350900.0,77.0,11.41,88.0,75.0
218,algeciras,ph,11.42,120.82,1528355714.0,77.96,16.33,100.0,100.0
219,zhifang,cn,30.35,114.31,1528351200.0,89.6,6.71,40.0,0.0
220,shelburne,ca,44.08,-80.2,1528354800.0,53.6,2.24,87.0,56.0
222,sidi ali,dz,36.1,0.42,1528355715.0,60.23,5.93,88.0,12.0
223,arica,cl,-18.48,-70.32,1528351200.0,64.4,3.36,77.0,90.0
224,sterling,us,39.0,-77.4,1528354560.0,64.4,4.7,82.0,40.0
225,datong,cn,40.09,113.3,1528355716.0,73.28,8.16,35.0,32.0
226,hoopstad,za,-27.83,25.91,1528355717.0,40.79,5.26,100.0,0.0
227,barrow,us,39.51,-90.4,1528353300.0,73.4,6.26,73.0,1.0
